modzcta,maxperc,maxrace
11360,56.212534059945504,Percent of Population that is Non-Hispanic White
11361,45.56362725450902,Percent of Population that is Asian
11362,43.84108867427568,Percent of Population that is Non-Hispanic White
11363,49.36501433838591,Percent of Population that is Non-Hispanic White
11364,51.57281943189802,Percent of Population that is Asian
11365,44.253837407617965,Percent of Population that is Asian
11366,40.82342124920991,Percent of Population that is Asian
11367,41.957120377655386,Percent of Population that is Non-Hispanic White
11368,75.06273393208683,Percent of Population that is Hispanic or Latino
11369,63.59001212655716,Percent of Population that is Hispanic or Latino
11370,38.91077898550724,Percent of Population that is Hispanic or Latino
11372,57.13569219378799,Percent of Population that is Hispanic or Latino
11373,46.92628851137346,Percent of Population that is Asian
11374,46.45723421262989,Percent of Population that is Non-Hispanic White
11375,48.805988142075904,Percent of Population that is Non-Hispanic White
11377,35.60381936291775,Percent of Population that is Asian
11378,53.15294709636101,Percent of Population that is Non-Hispanic White
11379,64.75588223216853,Percent of Population that is Non-Hispanic White
11385,46.118280488847105,Percent of Population that is Non-Hispanic White
11411,56.37537863633766,Percent of Population that is Black or African American
11412,83.47020384277772,Percent of Population that is Black or African American
11413,87.39205526770294,Percent of Population that is Black or African American
11414,67.84626441698894,Percent of Population that is Non-Hispanic White
11415,43.24204646093058,Percent of Population that is Non-Hispanic White
11416,40.522708017765915,Percent of Population that is Hispanic or Latino
11417,35.86919688241274,Percent of Population that is Hispanic or Latino
11418,39.39120910183026,Percent of Population that is Hispanic or Latino
11419,31.87903477503819,Percent of Population that is Asian
11420,29.89387880652107,Percent of Population that is Asian
11421,57.9110427454124,Percent of Population that is Hispanic or Latino
11422,84.60152557443024,Percent of Population that is Black or African American
11423,36.402180496668684,Percent of Population that is Black or African American
11426,40.16078500916238,Percent of Population that is Asian
11427,31.903292919147713,Percent of Population that is Asian
11428,31.792868049941614,Percent of Population that is Black or African American
11429,32.21356383559252,Percent of Population that is Non-Hispanic White
11432,39.310381824765635,Percent of Population that is Asian
11433,56.20701439617242,Percent of Population that is Black or African American
11434,82.86461505391753,Percent of Population that is Black or African American
11435,30.466006440245458,Percent of Population that is Black or African American
11436,60.58452875720606,Percent of Population that is Black or African American
11691,45.92101046784875,Percent of Population that is Black or African American
11692,46.329032431127445,Percent of Population that is Black or African American
11693,43.42293054234062,Percent of Population that is Non-Hispanic White
11694,71.78002894356005,Percent of Population that is Non-Hispanic White
11697,91.63851351351352,Percent of Population that is Non-Hispanic White
